NUM_OF_Quads 6

// Geometry format = position (x y z), texture (u v)

// front
-50.0, -50.0,  50.0,	0.0, 1.0
+50.0, -50.0,  50.0,	1.0, 1.0
+50.0, +50.0,  50.0,	1.0, 0.0
-50.0, +50.0,  50.0,	0.0, 0.0

// back
-50.0, -50.0, -50.0,	0.0, 1.0
+50.0, -50.0, -50.0,	1.0, 1.0
+50.0, +50.0, -50.0,	1.0, 0.0
-50.0, +50.0, -50.0,	0.0, 0.0

// Right
+50.0, -50.0,  50.0,	0.0, 1.0
+50.0, -50.0, -50.0,	1.0, 1.0
+50.0, +50.0, -50.0,	1.0, 0.0
+50.0, +50.0,  50.0,	0.0, 0.0

// Left
-50.0, -50.0, -50.0,	0.0, 1.0
-50.0, -50.0,  50.0,	1.0, 1.0
-50.0, +50.0,  50.0,	1.0, 0.0
-50.0, +50.0, -50.0,	0.0, 0.0

// Top
-50.0, +50.0,  50.0,	0.0, 1.0
+50.0, +50.0,  50.0,	1.0, 1.0
+50.0, +50.0, -50.0,	1.0, 0.0
-50.0, +50.0, -50.0,	0.0, 0.0

// Bottom
-50.0, -50.0,  50.0,	0.0, 1.0
+50.0, -50.0,  50.0,	1.0, 1.0
+50.0, -50.0, -50.0,	1.0, 0.0
-50.0, -50.0, -50.0,	0.0, 0.0







